Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword1	Ancient's Pledge	1		shld										r08	r09	r07				res-cold		30	30	res-all		13	13	ac%		50	50	dmg-to-mana		10	10													0
Runeword6	Black	1		club	hamm	mace	h2h							r10	r16	r04				crush		40	40	dmg%		100	100	swing2		15	15	red-mag		2	2	att		200	200	charged	74	12	4	dmg		20	30	0
Runeword44	Fury	1		mele									JahGulEth	r31	r25	r05				dmg%		299	299	swing2		40	40	indestruct		1	1	skill	368	5	5	lifesteal		6	6	deadly		66	66	skill	147	5	5	0
Runeword54	Holy Thunder	1		scep										r05	r08	r09	r07			dmg%		60	60	dmg-ltng		20	60	dmg-max		10	10	res-ltng		60	60	res-ltng-max		5	5	skill	118	3	3	charged	53	60	7	0
Runeword55	Honor	1		mele										r11	r01	r06	r03	r12		dmg%		200	200	regen		10	10	allskills		1	1	att		200	200	deadly		25	25	str		10	10					0
Runeword65	King's Grace	1		swor	scep	h2h								r11	r08	r10				dmg%		100	100	att		150	150	dmg-demon		100	100	dmg-undead		50	50	att-demon		100	100	att-undead		100	100	dmg-fire		45	50	0
Runeword72	Leaf	1		staf										r03	r08					fireskill		3	3	ac/lvl		16	16	res-cold		33	33	skill	41	3	3	skill	36	3	3	skill	37	3	3					0
Runeword74	Lionheart	1		tors									HelLumFal	r15	r17	r19				str		15	15	vit		20	20	dex		15	15	dmg%		110	110	hp		50	50	res-all		30	30					0
Runeword75	Lore	1		helm									OrtSol	r09	r12					enr		10	10	allskills		1	1	light		2	2	mana-kill		2	2													0
Runeword81	Malice	1		mele									IthElEth	r06	r01	r05				openwounds		100	100	dmg-ac		-100	-100	noheal		1	1	dmg%		33	33	light		-1	-1	regen		-5	-5	deep-wounds		6	6	0
Runeword82	Melody	1		miss										r13	r18	r04				dmg%		150	150	skilltab	0	3	3	skill	9	3	3	skill	13	3	3	skill	17	3	3	dmg-undead		300	300					0
Runeword83	Memory	1		staf										r17	r16	r12	r05			mana%		40	40	red-mag		7	7	ac%		50	50	cast2		33	33	sor		3	3	skill	58	3	3	skill	42	2	2	0
Runeword88	Nadir	1		helm									NefTir	r04	r03					ac%		50	50	ac		10	10	light		-3	-3	charged	264	9	13	gold%		-33	-33	str		5	5	mana-kill		4	4	0
Runeword116	Radiance	1		helm									NefSolIth	r04	r12	r06				light		5	5	enr		10	10	vit		10	10	dmg%		40	40	mana		33	33	ac%		75	75					0
Runeword120	Rhyme	1		shld									ShaelEth	r13	r05					block2		20	20	block		20	20	res-all		25	25	nofreeze		1	1	gold%		50	50	mag%		25	25					0
Runeword126	Silence	1		weap										r14	r02	r15	r24	r03	r26	manasteal		4	4	stupidity		33	33	dmg%		375	375	silence-fhr-ias		20	20	res-all		50	50	allskills		2	2	aura	Thorns	25	25	0
Runeword128	Smoke	1		tors									NefLum	r04	r17					ac-miss		250	250	ac%		75	75	res-all		50	50	balance2		20	20	light		-1	-1	charged	443	18	6					0
Runeword133	Stealth	1		tors										r07	r05					red-mag		3	3	dex		6	6	stam		15	15	move2		10	10	cast2		20	20	balance2		20	20					0
Runeword134	Steel	1		swor	axe	mace	h2h						TirEl	r03	r01					swing2		25	25	dmg-min		3	3	dmg-max		3	3	openwounds		50	50	dmg%		20	20									0
Runeword139	Strength	1		mele									AmnTir	r11	r03					str		20	20	dmg%		95	95	vit		10	10	crush		25	25													0
Runeword154	Venom	1		weap									TalDolMal	r07	r14	r23				oskill	73	6	6	ignore-ac		1	1	charged	Desecrate	27	15	hit-skill	92	20	28	manasteal		7	7	pierce-pois		30	30	dmg-pois	50	1024	1024	0
Runeword160	Wealth	1		tors										r20	r18	r03				gold%		250	250	mag%		100	100	mana-kill		2	2																	0
Runeword162	White	1		wand									DolIo	r14	r16					skilltab	7	2	2	red-mag		4	4	cast2		20	20	mana		13	13	skill	68	3	3	skill	69	4	4					0
Runeword170	Zephyr	1		miss									OrthEth	r09	r05					move2		25	25	swing2		25	25	dmg%		66	66	att		66	66	gethit-skill	240	7	1	ac		25	25					0
Runeword14	Bound by Duty	1		tors									DolUmBerIst	r14	r22	r30	r24			res-all		45	45	ac%		70	70	dmg-demon		200	200	dmg-undead		100	100	lifesteal		8	8	allskills		2	2	str		20	20	0
Runeword9	Bramble	1		tors									RalOhmSurEth	r08	r27	r29	r05			balance2		50	50	ac		300	300	aura	Thorns	21	21	heal-kill		6	6	extra-pois		50	50	res-pois		100	100	charged	Spirit of Barbs	33	13	0
Runeword11	Breath of the Dying	1		weap									VexHelElEldZodEth	r26	r15	r01	r02	r33	r05	swing2		60	60	dmg-undead		125	125	lifesteal		12	12	noheal		1	1	hit-skill	Poison Nova	35	40	dmg%		400	400	all-stats		30	30	0
Runeword13	Call to Arms	1		weap									AmnRalMalIstOhm	r11	r08	r23	r24	r27		swing2		40	40	dmg%		240	240	allskills		1	1	oskill	Battle Command	6	6	oskill	Battle Orders	6	6	oskill	Battle Cry	3	3	regen		12	12	0
Runeword17	Crescent Moon	1		axe	swor	h2h							ShaelUmTir	r13	r22	r03				pierce-ltng		15	15	ignore-ac		1	1	dmg%		220	220	abs-mag		5	5	charged	Summon Spirit Wolf	30	18	hit-skill	Static Field	12	13	hit-skill	Lightning	10	27	0
Runeword22	Delirium	1		helm									LemIstIo	r20	r24	r16				hit-skill	Confuse	11	18	charged	Attract	60	17	gethit-skill	Terror	14	13	ac		261	261	gethit-skill	Mind Blast	6	14	allskills		2	2					0
Runeword26	Doomsayer	1		axe	pole	hamm	spea	swor	scep				HelOhmUmLoCham	r15	r27	r22	r28	r32		dmg%		330	330	aura	Holy Freeze	16	16	swing2		45	45	noheal		1	1	pierce-cold		50	50	allskills		2	2	hit-skill	Molten Boulder	10	18	0
Runeword33	Enigma	1		tors									JahIthBer	r31	r06	r30				ac		775	775	allskills		2	2	move2		25	25	str/lvl		6	6	rep-charge	33			mag%/lvl		6	6	charged	Blink	5	1	0
Runeword137	Stone	1		tors									ShaelUmPulLum	r13	r22	r21	r17			ac%		290	290	charged	Clay Golem	36	16	indestruct		1	1	allskills		1	1	str		16	16	vit		16	16	balance2		40	40	0
Runeword36	Eternity	1		mele									AmnBerIstSolSur	r11	r30	r24	r12	r29		dmg%		310	310	indestruct		1	1	extra-revives		6	6	oskill	Revive	4	4	reanimate	39	10	10	dmg-norm		61	71	nofreeze		1	1	0
