description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
MAPS																																																																																																								0
t1 map upgrade mag to rare	1	4		100	18	361	0		4	"t1me,mag"	"r1pg,qty=1"	"gg4z,qty=1"	"upma,qty=1"				"usetype,rar"			100																																																																																				0
t1 map reroll rare	1	4		100	18	361	0		4	"t1me,rar"	"r1pg,qty=1"	"ggm4,qty=1"	"rera,qty=1"				"usetype,rar"			100																																																																																				0
t1 map imbue magic	1	4		100	18	361	0		3	"t1me,nor,qty=1"	"jewg,qty=1"	"imma,qty=1"					"usetype,mag"			100																																																																																				0
t1 map imbue rare	1	4		100	18	361	0		4	"t1me,nor,qty=1"	"imra,qty=1"	"jewg,qty=1"	"r1pg,qty=1"				"usetype,rar"			100																																																																																				0
t1 map scour magic	1	4		100	18	361	0		2	"t1me,mag"	"scou,qty=1"						"usetype,nor"			100																																																																																				0
t1 map scour rare	1	4		100	18	361	0		2	"t1me,rar"	"scou,qty=1"						"usetype,nor"			100																																																																																				0
t2 map upgrade mag to rare	1	4		100	18	361	0		4	"t2me,mag"	"r1pg,qty=1"	"gg4z,qty=1"	"upma,qty=1"				"usetype,rar"			100																																																																																				0
t2 map reroll rare	1	4		100	18	361	0		4	"t2me,rar"	"r1pg,qty=1"	"ggm4,qty=1"	"rera,qty=1"				"usetype,rar"			100																																																																																				0
t2 map imbue magic	1	4		100	18	361	0		3	"t2me,nor,qty=1"	"jewg,qty=1"	"imma,qty=1"					"usetype,mag"			100																																																																																				0
t2 map imbue rare	1	4		100	18	361	0		4	"t2me,nor,qty=1"	"imra,qty=1"	"jewg,qty=1"	"r1pg,qty=1"				"usetype,rar"			100																																																																																				0
t2 map scour magic	1	4		100	18	361	0		2	"t2me,mag"	"scou,qty=1"						"usetype,nor"			100																																																																																				0
t2 map scour rare	1	4		100	18	361	0		2	"t2me,rar"	"scou,qty=1"						"usetype,nor"			100																																																																																				0
t3 map upgrade mag to rare	1	4		100	18	361	0		4	"t3me,mag"	"r1pg,qty=1"	"gg4z,qty=1"	"upma,qty=1"				"usetype,rar"			100																																																																																				0
t3 map reroll rare	1	4		100	18	361	0		4	"t3me,rar"	"r1pg,qty=1"	"ggm4,qty=1"	"rera,qty=1"				"usetype,rar"			100																																																																																				0
t3 map imbue magic	1	4		100	18	361	0		3	"t3me,nor,qty=1"	"jewg,qty=1"	"imma,qty=1"					"usetype,mag"			100																																																																																				0
t3 map imbue rare	1	4		100	18	361	0		4	"t3me,nor,qty=1"	"imra,qty=1"	"jewg,qty=1"	"r1pg,qty=1"				"usetype,rar"			100																																																																																				0
t3 map scour magic	1	4		100	18	361	0		2	"t3me,mag"	"scou,qty=1"						"usetype,nor"			100																																																																																				0
t3 map scour rare	1	4		100	18	361	0		2	"t3me,rar"	"scou,qty=1"						"usetype,nor"			100																																																																																				0
map upgrade tier 1 to tier 2	1	4		0					2	"t1me,qty=3"	"upmp,qty=1"						t2me			100																																																																																				0
map upgrade tier 2 to tier 3	1	4		0					2	"t2me,qty=3"	"upmp,qty=1"						t3me			100																																																																																				0
t3 map upgrade tier 3 to dungeon	1	4		0					2	"t3me"	"scrb,qty=1"						"t4me,rar"			100	map-mon-velocity%	100		20	30	map-mon-att-pierce	100		80	100	map-mon-splash	100	358	100	1	map-mon-nofreeze-hp%	100		10	20	map-play-addxp	100		40	50																																																											0
Staff of Kings + Viper amulet -> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			0	28				2	leg	tbk						Cow Portal																																																																																							0
3 health potions + 3 mana potions + 1 standard gem -> full rejuvenate potion	1			0					3	"hpot,qty=3"	"mpot,qty=3"	gem2					rvl																																																																																							0
3 health potions +  3 mana potions + 1 chipped gem -> rejuvenate potion	1			0					3	"hpot,qty=3"	"mpot,qty=3"	gem0					rvs																																																																																							0
3 small rejuvs -> one large	1			0					1	"rvs,qty=3"							rvl																																																																																							0
1 perfect gem of each type + 1 amulet -> prismatic amulet	1			0					7	"amu,mag"	"gg4a,qty=1"	"gg4d,qty=1"	"gg4e,qty=1"	"gg4r,qty=1"	"gg4s,qty=1"	"gg4t,qty=1"	"amu,mag,pre=331"	50																																																																																						0
1 ring + 1 perfect ruby + 1 exploding potions -> garnet ring	1			0					3	"rin,mag"	"gg4r,qty=1"	opm					"rin,mag,pre=372"	30																																																																																						0
1 ring + 1 perfect sapphire + 1 thawing potions-> cobalt ring	1			0					3	"rin,mag"	"gg4s,qty=1"	wms					"rin,mag,pre=353"	30																																																																																						0
1 ring + 1 perfect topaz + 1 rejuvenation -> coral ring	1			0					3	"rin,mag"	"gg4t,qty=1"	rvs					"rin,mag,pre=392"	30																																																																																						0
