Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	0	0	271	1	1	3	150	merc01	merc41	100	100	45	8	15	6	35	10	45	16	10	10		1	3	2	0	8	bow		farw	75	Inner Sight	4	10	0	1	10	Fire Arrow	4	25	8	1	10																									2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	100	100	221	13	147	12	63	10	89	16	230	20	1	7	9	4	44	7	bow		farw	75	Inner Sight	4	10	0	8	10	Fire Arrow	4	69	0	8	10																									2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	100	100	533	25	435	18	93	10	137	16	710	30	2	19	21	6	86	5	bow		farw	75	Inner Sight	4	10	0	16	10	Fire Arrow	4	69	0	16	10																									2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	105	45	8	15	6	35	10	45	16	10	10		1	3	2	0	8	bow		carw	75	Inner Sight	4	10	0	1	10	Cold Arrow	4	25	2	1	10																									2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	105	221	12	147	12	63	10	89	16	230	20	1	7	9	4	44	7	bow		carw	75	Inner Sight	4	10	0	8	10	Cold Arrow	4	36	0	8	10																									2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	105	509	16	435	18	93	10	137	16	710	30	2	19	21	6	86	5	bow		carw	75	Inner Sight	4	10	0	16	10	Cold Arrow	4	36	0	16	10																									2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	110	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	bow		farw	75	Inner Sight	4	10	0	7	10	Fire Arrow	4	69	0	7	10																									2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	110	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	bow		farw	75	Inner Sight	4	10	0	15	10	Fire Arrow	4	69	0	15	10																									2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	115	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	bow		carw	75	Inner Sight	4	10	0	7	10	Cold Arrow	4	69	0	7	10																									2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	115	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	bow		carw	75	Inner Sight	4	10	0	15	10	Cold Arrow	4	69	0	15	10																									2	1	2	0
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	120	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	bow		farw	75	Inner Sight	4	10	0	14	10	Fire Arrow	4	69	0	14	10																									2	1	2	0
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	125	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	bow		carw	75	Inner Sight	4	35	0	14	10	Cold Arrow	4	69	0	14	10																									2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12		1	3	2	0	8	bow		farw	15	Vigor	1	0	0	3	7	Merc Fire Arrow	4	60	0	1	10	Exploding Arrow	4	25	0	1	10																			2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	100	100	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		farw	15	Vigor	1	0	0	11	7	Merc Fire Arrow	4	60	0	12	10	Exploding Arrow	4	25	0	12	10																			2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	100	100	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		farw	15	Vigor	1	0	0	18	0	Merc Fire Arrow	4	60	0	22	10	Exploding Arrow	4	25	0	22	10																			2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	100	45	9	15	8	35	10	45	16	10	12		1	3	2	0	8	bow		carw	15	Meditation	1	0	0	3	7	Merc Cold Arrow	4	60	0	1	10	Freezing Arrow	4	25	0	1	10																			2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	150	100	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		carw	15	Meditation	1	0	0	11	7	Merc Cold Arrow	4	60	0	12	10	Freezing Arrow	4	25	0	12	10																			2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	150	100	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		carw	15	Meditation	1	0	0	18	0	Merc Cold Arrow	4	60	0	22	10	Freezing Arrow	4	25	0	22	10																			2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	110	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		farw	15	Vigor	1	0	0	11	7	Merc Fire Arrow	4	60	0	12	10	Exploding Arrow	4	25	0	12	10																			2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	6000	110	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		farw	15	Vigor	1	0	0	18	0	Merc Fire Arrow	4	60	0	22	10	Exploding Arrow	4	25	0	22	10																			2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	110	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		carw	15	Meditation	1	0	0	11	7	Merc Cold Arrow	4	60	0	12	10	Freezing Arrow	4	25	0	12	10																			2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	7500	110	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		carw	15	Meditation	1	0	0	18	0	Merc Cold Arrow	4	60	0	22	10	Freezing Arrow	4	25	0	22	10																			2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	12500	120	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		farw	15	Vigor	1	0	0	18	0	Merc Fire Arrow	4	60	0	22	10	Exploding Arrow	4	25	0	22	10																			2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	120	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		carw	15	Meditation	1	0	0	18	0	Merc Cold Arrow	4	60	0	22	10	Freezing Arrow	4	25	0	22	10																			2	1	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	1	6	13	4	18	8	pole	spea	comb	30	Thorns	1	0	0	3	10	Jab	14	70	0	3	10																									2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	3	16	23	6	62	7	pole	spea	comb	30	Thorns	1	0	0	10	10	Jab	14	92	0	10	10																									2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	comb	30	Thorns	1	0	0	18	0	Jab	14	116	0	18	10																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	def	30	Defiance	1	0	0	3	10	Jab	14	70	0	3	10																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	def	30	Defiance	1	0	0	10	10	Jab	14	92	0	10	10																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	def	30	Defiance	1	0	0	18	0	Jab	14	116	0	18	0																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	9	198	merca201	merca221	350	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	off	30	Blessed Aim	1	0	0	3	10	Jab	14	70	0	3	10																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	merca201	merca221	350	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	off	30	Blessed Aim	1	0	0	10	10	Jab	14	92	0	10	10																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	merca201	merca221	350	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	off	30	Blessed Aim	1	0	0	18	0	Jab	14	116	0	18	0																									2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	comb	30	Thorns	1	0	0	5	10	Jab	14	120	0	9	10																									2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	comb	30	Thorns	1	0	0	13	0	Jab	14	144	0	17	10																									2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	def	30	Defiance	1	0	0	6	10	Jab	14	120	0	9	10																									2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	def	30	Defiance	1	0	0	14	0	Jab	14	144	0	17	0																									2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	merca201	merca221	7900	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	off	30	Blessed Aim	1	0	0	7	8	Jab	14	120	0	9	10																									2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	merca201	merca221	7900	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	off	30	Blessed Aim	1	0	0	13	8	Jab	14	144	0	17	0																									2	2	2	0
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	comb	30	Thorns	1	0	0	16	0	Jab	14	104	0	16	10																									2	2	2	0
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	def	30	Defiance	1	0	0	16	0	Jab	14	104	0	16	0																									2	2	2	0
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	merca201	merca221	15000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	off	30	Blessed Aim	1	0	0	16	0	Jab	14	104	0	16	0																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	6	13	2	18	8	pole	spea	comb	20	Thorns	1	0	0	3	7	Jab	14	80	0	3	10																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	22	29	4	86	7	pole	spea	comb	20	Thorns	1	0	0	11	7	Jab	14	80	0	14	10																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	45	52	5	142	4	pole	spea	comb	20	Thorns	1	0	0	18	0	Jab	14	80	0	24	0																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	6	13	2	18	8	pole	spea	def	20	Defiance	1	0	0	3	7	Jab	14	80	0	3	10																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	22	29	4	86	7	pole	spea	def	20	Defiance	1	0	0	11	7	Jab	14	80	0	14	10																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	45	52	5	142	4	pole	spea	def	20	Defiance	1	0	0	18	0	Jab	14	80	0	24	0																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	6	13	2	18	8	pole	spea	off	20	Blessed Aim	1	0	0	3	7	Jab	14	80	0	3	10																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	22	29	4	86	7	pole	spea	off	20	Blessed Aim	1	0	0	11	7	Jab	14	80	0	14	10																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	45	52	5	142	4	pole	spea	off	20	Blessed Aim	1	0	0	18	0	Jab	14	80	0	24	0																									2	2	2	0
