#define name	Skill ID	DC6 Frame	switch case
SKILL_ATTACK	0	124	case SKILL_ATTACK: return 124;
SKILL_KICK	1	123	case SKILL_KICK: return 123;
SKILL_THROW	2	126	case SKILL_THROW: return 126;
SKILL_UNSUMMON	3	125	case SKILL_UNSUMMON: return 125;
SKILL_LEFTHANDTHROW	4	129	case SKILL_LEFTHANDTHROW: return 129;
SKILL_LEFTHANDSWING	5	128	case SKILL_LEFTHANDSWING: return 128;
SKILL_MAGICARROW	6	0	case SKILL_MAGICARROW: return 0;
SKILL_FIREARROW	7	1	case SKILL_FIREARROW: return 1;
SKILL_INNERSIGHT	8	2	case SKILL_INNERSIGHT: return 2;
SKILL_CRITICALSTRIKE	9	3	case SKILL_CRITICALSTRIKE: return 3;
SKILL_JAB	10	4	case SKILL_JAB: return 4;
SKILL_COLDARROW	11	5	case SKILL_COLDARROW: return 5;
SKILL_MULTIPLESHOT	12	6	case SKILL_MULTIPLESHOT: return 6;
SKILL_DODGE	13	7	case SKILL_DODGE: return 7;
SKILL_POWERSTRIKE	14	8	case SKILL_POWERSTRIKE: return 8;
SKILL_POISONJAVELIN	15	9	case SKILL_POISONJAVELIN: return 9;
SKILL_EXPLODINGARROW	16	10	case SKILL_EXPLODINGARROW: return 10;
SKILL_SLOWMOVEMENT	17	11	case SKILL_SLOWMOVEMENT: return 11;
SKILL_AVOID	18	12	case SKILL_AVOID: return 12;
SKILL_JAVELINANDSPEARMASTERY	19	13	case SKILL_JAVELINANDSPEARMASTERY: return 13;
SKILL_LIGHTNINGBOLT	20	14	case SKILL_LIGHTNINGBOLT: return 14;
SKILL_ICEARROW	21	15	case SKILL_ICEARROW: return 15;
SKILL_GUIDEDARROW	22	16	case SKILL_GUIDEDARROW: return 16;
SKILL_PENETRATE	23	17	case SKILL_PENETRATE: return 17;
SKILL_CHARGEDSTRIKE	24	18	case SKILL_CHARGEDSTRIKE: return 18;
SKILL_PLAGUEJAVELIN	25	19	case SKILL_PLAGUEJAVELIN: return 19;
SKILL_STRAFE	26	20	case SKILL_STRAFE: return 20;
SKILL_IMMOLATIONARROW	27	21	case SKILL_IMMOLATIONARROW: return 21;
SKILL_DOPPLEZON	28	22	case SKILL_DOPPLEZON: return 22;
SKILL_EVADE	29	23	case SKILL_EVADE: return 23;
SKILL_FEND	30	24	case SKILL_FEND: return 24;
